Unnamed: 0,input,output,has_symptoms,allergens,labels
10,"they told me Im allergic to something, but nobody knows what...I had these weird hives looking rash for like 3 months and it started to go away I think because my new job (fast food) makes my hair and skin smell really bad when i come home so Ive been taking 2 showers a day. But I just layed down on my couch too go to sleep and felt like something kept biting me, so I went into the bathroom to change clothes and theres hives starting to form again on my face hand arm legs and stomach...I know Im allergic to cats horses trees grass and antibiotics, but the only one of those im exposed to is my cat, I think it might be something else, am I right?","Hello, Welcome and thanks for posting your query to Chat Doctor. After reading your query it appears the possibility of \""Urticaria\"". Urticaria is a common condition caused by bursting of allergy producing cells known as \""mast cells\"". As the chemical inside them is released it produces a rash which you have mentioned. There can be multiple factors producing this condition which are included in day to day life and sometimes it is really difficult to find one exact cause. In your case you are correlating it with contact with cats. So it is better to stay away from the offending factors. For the betterment kindly follow the suggestions below",1,cats,Pet
11,My 3 year old son had a basic allergen profile blood test. It showed low allergy to milk and undetermined allergy to egg whites and wheat. Doc will not refer him to an allergist for further testing. He just wants us to try an elimination diet for a few weeks. His only symptoms that we noticed are a rash (keratosis pilaris) and a runny nose. The allergen profile only tests for a few things. Should we insist on seeing an allergist?,"Hello, If symptoms of allergy like a rash or runny nose improve after eliminating egg or milk, then probably you don't need to go for further testing. More than food other allergens like pollen, dust, mites, artificial flavors in candies, chocolates, juices, etcetera, can cause allergy. If symptoms are not improving, you need to go to an immunologist. In the meantime, you may have antihistamines medicine for symptom relief. Hope I have answered your query. Let me know if I can assist you further.",1,wheat,Food
12,I have dust allergy (continuos sneezing and cold once in 2-3 days) caused due to long distance travel to office daily. Has done allergy test already and I am confirmed with pollen allergy. Please let me know best doctor in chennai for treatment and let me know which kind of treatment is best for this kind of allergies.,"Hello, thanks for your query, sequence of sneezes, running nose, itching in ears, itching in roof of mouth, blackness under eyes are the symptoms of allergic rhinitis. It is best prevented by not to expose to cold, dust, not to consume ice creams, fridge water, curd. Best street meet is Adams(fluticasone) nasal spray twice daily, tab. Monte- LC (montelukast+cetirizine once daily at bedtime. All the best. Take care.",1,"dust, pollen",Environmental
13,"i think my infant had a childrens motrin allergy/ Ibuprofren allergy.im curious to know if the reaction stays in the system until treated/addressed or does it cure itself? my pediatrician said my son has excema and disregarded my concern I want to say he started slight skin rashing aound 6mo - around same time he got HFMD and was given infants motrin in the last year the rasChatDoctores n goes, his poops are like rocks/ clay like or black 75% of the time, and has had repeated coughs n congestion- I recently gave him the childrens motrin and he broke out in a burning hive rash aka excema don t think soo","Hello.  Welcome to Ask A Doctor.  I have read your query and here is my advice.  A side effect of Motrin(ibuprofen) is to cause stomach inflammation which can make the stomachs inside lining bleed. The blood is carried along with intestinal contents through the entire intestinal tract.  By the time it reaches the end it is black and makes stool black.  Blueberries, Pepto-Bismol, and iron supplements also make stool black.  A hive rash is an allergic rash and could be due to Motrin, especially if the hives appeared very soon after you gave him the dose.  Tylenol does not irritate the stomach and is safer.  Hard stool is usually due to not enough liquid intake.  You may want to try giving apple and pear juices.  If that doesn't help, prune juice, 1-2ounces one-two times per day might be beneficial.  Frequent colds and coughing could be from being in close contact with other young child Chat Doctor.  How old is your child?  Does he attend daycare?  Also, cold and cough syrups are NOT recommended to give to child",1,motrin,Drug
14,"Hi, I am allergic to dust and change of temperature, each year in month of jan-feb-march (change of season from winter to summer and vice versa..) it become worse, During this allergic period, I keep on sneezing and I have running nose and eyes. Please suggest some medicine. I am facing same condition from last 5 year (my age is 31)","Hi, you have treat allergy in step wise manner. If you have allergy only during 3-4 four months time then you should start with antihistamine tablets. See for the results if there is no improvement then you have to go to the next step that is nasal steroid sprays. You have to start steroid nasal spray 3-4 weeks before your symptoms start. It gives very good results. If these sprays do not work then you have to undergo allergy test, an immunologist will do skin prick test to find out your allergic to what all substances. Once it is identified you will have to take immunotherapy. This I can assure will cure your allergy to up to 80-90 percent. Kindly go to physician he will start antihistamine tablets and nasal sprays for you. For allergy testing go to immunologist thank you Chat Doctor.",1,dust,Environmental
15,i just moved to a new house and its kinda old and dusty and im getting allergies and they wont stop its been about a month now and i still have allegies i been drinkin pills but they dont work. also i sneeze alot but now its starting to hurt my lungs when i sneeze what should i do? plz help,"HI, thanks for using Chat Doctor Dust is one of the more common allergens and is likely contributing to your allergic symptoms. The only way to relieve the symptoms would be to decrease your exposure to dust. This would involve spotless any carpets, rugs, bedding, couches etc. that may harbor dust. Thorough cleaning of any other areas may also be needed. The use of mattress and pillow allergy casing may also be helpful. I hope this helps",1,dust,Environmental
16,"hi. i am nadeem from nagpur. age 42 yrs. i have prob of cold regularly. its allergic i think. when i come in contact with air flow like sitting under the fan with sweating body, it starts continue sneezing with cold. same thing happpens when i drive my bike (without Helmet) or driving car with open window. its happening since last 10 years. in AC i dont have any such problem. kindly suggest and advise me. thanks","Hi, Welcome to Chat Doctor, You are suffering from a kind of Rhinitis which could be ?allergic common agents dust, pollen, and other such thing. But There are other causes also non-allergic Vasomotor rhinitis and Chat Doctor. You should visit a ENT Surgeon and find out what is the reason for your problem, as anti histamines may give temporary relief, but if it is allergic you may avoid particular allergen, and take proper treatment like preventive nasal spray and systemic therapy if required. You should be better with proper treatment Good luck to you",1,"dust, pollen",Environmental
17,"a few years ago, i was allergic to chocolate. it went away after a month, and never came back. now, 5 years later, i got it again, having bad headaches and rashes on my face, and difficulty breathing. Now all i get is headaches when i eat chocolate. how can you explain this?","Hello, Welcome to Chat Doctor, The history and symptoms are suggestive of known allergic to chocolates, you should be very careful and try to avoid the chocolates. I would suggest you to undergo absolute eosinophil count (AEC) which will be raised in the allergic condition. I would suggest you avoid the chocolates which is causing all these symptoms Otherwise you can prefer immunotherapy either with subcutaneous immunotherapy (SUIT) or sublingual immunotherapy (SLIT). For the present symptoms you can take Tab Monte LC which helps to control the symptoms, but it is temporary. You need to avoid these chocolates to protect yourself from getting these allergy symptoms. Thank you.",1,chocolate,Food
18,"My son 8 years old has hive like rash on his arms and leg now on torso. I give him benedryl and it goes away and re-appears when the benedryl wears off. He has been allergic to dogs, milk soy and eggs but has not been in contact with any of those. He has no ever but is tired and was tonight a bit dizzy. We just got back from a trip to Barbados ( for a week) could this be not hives could this be a virus? If so what type of virus would cause this rash that looks and is itchy like hives for two days and no fever?","Hello, Welcome to Chat Doctor, From your description and past history it could be hives (Acute urticaria) and need not be any viral infection. It is characterized by itchy red or skin colored raised wheals which is transient, that means appears in one place and soon disappears from there to appear somewhere else. The most common cause of acute urticaria is food. Seafood, meat, poultry, egg, milk, peanuts, apples, brinjal, strawberry, coloring agents etc. are commonly implicated. It is subjective, and any food can cause it. Other common causes are medicines, infections, insect bites etc. Antihistamines like Ben Chat Doctor.  Identifying the trigger and avoiding it is the best treatment. Hope this helpedTake care",1,"dogs, eggs",Food
19,"Good morning sir, I m suffering from skin allergy, running nose, eching, red eyes from last four years.I have taken treatment from many local doctors.I have to take one tab citirazine every day. Now the condition is going worse.Please advice me for permanent treatment.........","Hello, thanks for your query, sequence of sneezes, running nose, itching in ears, itching in roof of mouth, blackness under eyes are the symptoms of allergic rhinitis. It is best prevented by not to expose to cold, dust, not to consume ice creams, fridge water, curd. Best street meet is Adams(fluticasone) nasal spray twice daily, tab. Monte- LC (montelukast+cetirizine once daily at bedtime. All the best. Take care.",1,dust,Environmental
20,"Hi , I have a skin allergic , doctor prescribed me dazit m at morning and emtek before dinner. For 3 weeks but I am not able to take tables regular . due to my travel .. I am still facing skin allergic these rashes come mainly in chest and upper hand , then go away with in 20 to 30 min.. Now I am afraid does this may be a symptoms of hiv. I had protected sex before .. Even I tested in June its negative . which I take after 2 months of sex . now I am having sex with only one that too protected ..","Hi. Welcome to Chat Doctor. I have gone through your query and can understand your concerns. As per your complaint rashes over the chest and hand that comes and goes seems to be due to allergic reaction and can be due to either any food or medicine or can be Contact DERMATITIS that can occur due to allergic reaction to some detergent or skin cosmetic while other causes can be allergic reaction to poison ivy, leather, latex etc. I would suggest you to consult an Allergist and get evaluated, and he can advise you allergic testing like Patch test, LAST test, Food challenge test to rule out the exact cause of allergic reaction and preventing exposure to allergen can help. In case if still you are exposed to allergen you need to take anti-allergics like Davit M that contains Montelukast and desloratidine. An Immunotherapy can also be instilled to reduce the severity of allergic reaction. Hope this information helps. Thanks and regards. Chat Doctor.",1,latex,Contact
21,"Hello there, my son is 7 and has a long history of food intolerances and allergies. He is anaphylactic to cashew nuts, but is also allergic to other tree nuts. He has allergies to eggs, dairy and wheat as well. He has had severe and ongoing tummy pain for about 3 months now. We have had many investigations. we found that he had giardia which was treated with antibiotic, but there was no improvement. He then had other tests and ultrasound scans of tummy and pelvis which did not show up anything. He then had an x-ray which showed that his entire colon was impacted and he was severely constipated. Our paediatrician told us to give him osmolax 2 scoops, 3 times a day until he had diarrhoea for 4 days and then have a repeat x-ray which we did. He was still impacted. He has just spent 4 days in hospital last week having a bowel washout. He has had another x-ray and is now clear, however he is still sick. There has been no improvement and he is still suffering from the same tummy pain. What should we do next? Concerned Mum","Hi....the pain due to constipation can be chronic and take a very long time to settle. I do not think you should do anything more regarding investigation as the cause for this chronic pain abdomen is already known. The best way to deal with constipation is prevention rather than treatment. In future, I suggest restricting total milk intake to 300ml per day, eat a full cup of fruits daily especially more of papaya, to Chat Doctor. This is the natural and best way to prevent constipation. Regarding paint may take 2-3 weeks to completely settle and the recurrence of pain can be prevented only by preventing constipation. Regards -",1,"cashew, eggs, dairy, wheat",Food
22,Hello Dr. Grief My daughter has had some type of allergic reaction recently.  She has a rash that started on her arm and has since spread over her body.  She went to the emergency room two nights in a row and the doctors have said that it could possibly be insects maybe dust mites or bed bugs. They treated her with antibiotics and a topical cream.  Her apartment manager called Terminix and they could not find anything.  What do you suggest we do?,"HI, it can be due to some allergy or some systemic causes also, first get it examined by a dermatologist and then to rule out allergic reaction you should go for differential count and total count of white blood cells, platelets count, prothrombin time and closing time, D dimer estimation, immunoglobulin estimation to rule out any autoimmune pathology going inside the body, can go for complete panel allergen test to rule out allergic reaction, serum Egg should be estimated. Respiratory tract involvement should be ruled out, internal gastrointestinal tract bleeding should be ruled out, routine examination urine should be done, and you should go to a higher center for its diagnosis and should not be neglected. Take care.",1,"insects, dust",Environmental
23,"Hello Doctor, For the past years i have been have a nasal allergy . I use to get this Allergy in my Nose once in a week. I use to get continuous sneezing and my nose will be very heavy. itz happens mostly when i drink cold water. i can t bear a sip of cold water also. sneezing go on for whole day but when i use Cetrizine and i will get released. PLZ suggest mi any permanent solution.","Hello, You are having allergic rhinitis which will always re-occur ones the allergens (cold, dust, pollen) are present. You need to adjust your lifestyle and avoid allergens even though it is difficult to do, at least you will reduce the chances of you getting some allergy episodes. Then you can use antihistamines such as cetirizine or a nasal steroid spray to relief the symptoms when they present. I don't think there is any permanent cure for your allergy as it is already encrypted in your DNA and that can not be corrected by any known medical therapy. Wish you the best and hope this helps.",1,"dust, pollen",Environmental
24,"yes, my son is 10 years old, was diagnosed with pheumonia after having a chest xray in emergency room friday night, what they had him on was nt working, amoxicillan and prednisone so they gave him a shot yesterday at dr s office and started him on a z-pak last night and continued the prednisone, he took 2 zpak pills last night and supposed to take 1 a day for 4 more days, i gave him the 1 tonight about 8pm, he is now itching bad on his hands, chest and back, a few red welps on all. Is there anything i can give him to offset this if he is having an allergic reaction to the zpak until i can call the dr back in the morning?? Thanks, dana","Thanks for your question on Chat Doctor. I can understand your situation and problem. In my opinion, your son is having allergic reaction due to either of the following. 1. Immediate allergic reaction to azithromycin (z pack). 2. Delayed time of allergic reaction to amoxicillin. He is having allergic reaction for sure. Allergic reactions are of two kinds. 1.  Immediate type of reaction occurs within minutes to hours. 2. Late (delayed) type of reaction occurs after 2-3 days. So better to consult dermatologist and start appropriate treatment. Treatment of allergic Chat Doctor.  Stop the suspected",1,"azithromycin, amoxicillin",Drug
25,"Hi, i am 22 years old and i am suffering from constant nasal blockage and constant allergic cough. I had consulted a lot of doctors and taken their medicine prescribed by them but my condition is same as ever. Mostly i have an allergy of dust, as soon i came inti contact with dust i started sneezing and my nose starts running, a severe head ache,and blockage of nose . Kindly help me and tell me the cure of it.","Hello. Thank you for asking at Chat Doctor. I went through your history and first I will think of allergic rhinosinusitis. Were I treating you, I would suggest you intranasal corticosteroids for 2 weeks. Once your symptoms improve significantly, I would stop intranasal steroids and start daily montelukast and levocetirizine. During the treatment, I would also suggest daily nasal cavity irrigation with saline spray 3-4 times a day and steam inhalation at least twice a day. If you have throat irritation, I would additionally suggest you warm saline gargles upon awakening and before going to sleep. All above measures will work towards your relief of symptoms. For allergy, the basic cause of your symptoms, I would suggest you to consult an ALlergist-Immunologist who will perform allergy testing and help you identify the substances you are allergic to. Avoidance measures for the substances you are allergic to and sometimes allergen immunotherapy will help to manage your long-standing allergy. Hope this will be helpful to you. Wish you a fast recovery and the best of the health. Regards.",1,dust,Environmental
26,"Most of my adult life I have had sensitivity to environmental allergies, and food allergies, Recently I have had three reactions.. that may deal with food and latex allergies ... I feel the redness and burning are causing more and more intense pain. I take Benadryl immediately after exposure. Is there anything else besides an epi pin I can use to decrease the pain level. The intensity of pain to the top layer of skin is very off the chart pains. Do I need to take a precaution ...often I do not know if food eaten or environment is the culprit. I firmly believe it is due to latex. I want to keep from anaphylaxis... what preventative measures do I need to have in place?","Hello, I can understand your concern. It seems that you have allergies to more than one substance, and you do not exactly know what substances are acting as allergens for you. Thus, firstly, I would recommend you to go for a blood test for allergy. It will show in results what food and environmental substances are acting as allergen for you and so you can be alert in your day-to-day routine regarding exposure to these substances and avoid yourself from exposure. This is the best precaution you can take. In addition, you can also keep antihistamine such as Loratadine 10 mg (Forfeits) or Cetirizine 5 mg (Exocet) all the time with you so that as soon as the reaction starts, you can take the medicine immediately and control the reaction. Also, if you are allergic to more than one substance that you can be exposed to routinely, you can talk with your physician about taking an antihistamine regularly as hypertension patients take antihypertensives. Always take care to try new medicines and food items. I hope this information helps. Thank you for choosing Chat Doctor. Take care. Best,",1,latex,Contact
27,"The roof of my mouth is sore and swollen in some areas specially on the left side behind upper front teeth . I have a sinus allergy due to dust / weather because of which my nose remains perpetually closed and 80-90% of the time I am breathing through my mouth (consciously and unconsciously) including at night when sleeping This has caused multiple problems in the past, as esp. when weather is changing and my nose is worse, breathing from my mouth causes dry and parched lips , sore throat, and the sore/swollen mouth roof. However, the mouth roof problem is fairly recent, and this is only the second time it is happening now (earlier it was mostly sore throat followed by a flu/fever) The first time it happened, it went away in a couple of days as I applied oral gel. This time around its been four days and its going from bad to worse. Am not skipping meals, so no malnutrition , eating healthy, and no dehydration as I drink lots of water (except after a night s sleep when my mouth is parched due to breathing from mouth and dryness in air). I have taken Folic Acid as advised by some family/friends and also taking more water/milk and have applied oral gel before going to bed each night. Since the start of this mouth roof problem now, since past four days, I have also been feeling fever/fatigue and internal body pain. I have taken Paracetamol for that. Can you help treat this?",THE NEGLECTED SINUSES CAN CAUSE THISYOUR SINUS ALLERGY HAS DEVELOPED INTO THIS CONDITION YOU GET EXAMINED FOR SINUSES AND SEND THE PROPER INVESTIGATION REPORT OF SINUSESINITIALLY TO SOLVE YOU CAN TAKE ANTIBIOTICS TO CLEAR INFECTION CAN ADD STEROIDS FOR SOME TIME TO OPEN YOUR NOMINAL SPRAYS ALSO HELP IN OPENING MOUTH AND TAKE ANTIALLERGUCS ALSO TO GET RELIEF ALONG WITH FOLIC ACID CAN TAKE DIGESTIVE ENZYMES,1,dust,Environmental
28,"Help! I have urticaria on my buttocks and thighs - humidity and tight pants might be a factor. I first noticed the red irregular bumps on my buttocks about 4 years ago in the summer after returning from the beach/ pool. I continued to get it every summer since after sunbathing; it lasts for 2 to 3 weeks and then it goes away. This year however, I got it in February (I was pregnant at the time) and its been coming back on and off in small bumps since then. I finally saw a dermatologist who did a biopsy; the diagnosis- papular urticaria. In hope for an answer, I saw an allergist as well - turns out im allergic to dust mites and cockroach (not known to cause hives). Yesterday I went to a hot yoga class; the room was warmer than usual and i sweated profusely. I got home and my right thigh was covered in red bumps of different sizes, some even expended into a massive red area overnight - they are somewhat itchy and my skin feels as sensitive as when I get sunburn. My left thigh is not as affected - just a few red bumps. I take Allegra on a regular basis and I used anti - itch lotion  for the first time today (Itch Fix,  i believe). I do not have any other medical condition aside from Thalassemia minor. The rash seems to have gotten worse since it first started 4 years ago, it really worries me. What else should i look into? What steps should i take?","Hello friend, I am a Homeopath and so my answer will be different from what you have already heard about allergy. Yes you are allergic to several things like heat of summer, dust, mites, cockroach etc. This hypersensitivity is inborn or genetic. But the time of developing hypersensitivity is related usually to a psychological conflict you had at the time of onset of the problem. If you started getting it 4 years back, exactly before that you must have had some shocking conflict which remain unresolved. But your brain associated the urticaria to the external environments like heat of sun, dust etc. instead of associating with the conflict. Now your brain has made a program associated with these factors and whenever you get exposed to such environments you get the symptoms of urticaria. First if you can recollect the conflict, then you can resolve it at the mental level. How you reacted to that is important because that is your genetic, constitutional individuality that made you to react in that manner. This will help the Homeopathic physician to select the constitutional remedy for you. Therefore, my advice to you is to approach an expert Homeopath at the earliest. You should stop taking any anti- Chat Doctor.  Once you are cured, then your urticaria will go away. With best wishes,",1,dust,Environmental
29,"I believe I have tonsillitis having symptoms of sore throat , sore neck glands, swollen tonsils with the puss, difficulty and painful swallowing and body ache. I am aware I will need antibiotics for this but unfortunately I am allergic to almost all antibiotics except sulphur ones. I have veeb using natural antibiotics such as lemon, salt and honey . I have been doing some reading about how strep bacteria can spread and cause rheumatic disease. About a week and half prior to having this sore throat, I have felt my heart palpitating and beats at abnormal rate everyday. I queried if it was my asthma but it s definitely not my lungs but my chest/heart that felt odd. Five days on and the sore throat feels worse, and also I started feeling something stuck down the trachea everytime I swallow. I woke up the next day and it feels it has gone down again to mid chest as I find it tight and painful to swallow and bring my food down. Because it is the Christmas/New Year Holiday I am hesitatant to go to the hospital Emergency Depatment kowing I will be there all day. I was thinking of waiting until the endof the week when my regular general practitioner s clinic will be open. But with the chest tightness symptom, I am getting a bit worried. Is this normal with tonsillitis? Regards.","Hello, Sorry to note that you are having a rough time. It is most likely oxidative tonsillitis (on examination, there is white pus covering the tonsils) and streptococcal bacteria, diphtheria are main causes. Penicillin V, erythromycin, azithromycin (for penicillin allergy) are first line treatment options and also noted that you are allergic to almost all antibiotics except sulfur ones. The secretions (or exudates) from the infected tonsils go down the throat (causing sore throat) and then to the chest causing feeling of tightness. If you have asthma, then you feel this coming on quicker. Epiglottis is an indication for hospitalization. Conservative treatment involves",1,"penicillin, azithromycin, sulfur",Drug
30,"Is there a connection to high cholesterol and hives? I have both.    A blood test for allergies shows a reaction to dogs, but I have had then my entire life w/o a problem. Just wondering if there is another cause for the recent and sudden outbreak in hives with a sore throat besides allergies.","Hi, Hives also called urticaria may be multifactorial. Kindly consult the dermatologist for the perfect diagnosis and proper treatment. Investigations including allergy tests may be done. Dog dander may be responsible. Besides that many allergens... dietary, contactants and inhalants may be the triggers of urticaria and sore throat. I would suggest...- elimination and avoidance of food, contactant and inhalant allergens- antihistamines like fexofenadine- domain - if needed short course of steroid - subcutaneous injection of Histaglob at regular intervals I hope this would help you. Thanks. Chat Doctor.",1,dogs,Pet
31,"Hi i have a question; i dont think i have a cold i think i have a allergy cold? You see i have been home all week from snow days and one night i ate a lemon, so when i woke up after that my throat hurt really bad like scratchy bad and its been 4 days my throat hurts way less but still hurts ! I went to school and had watery eyes could it be allergies with dust? Also when i got home the mucus started to taste bad ! Now its making me cough! Also im itchy! Like on my arms and legs? And that day i went to school when i got there it made me have a runny nose cause when i got home it stopped so is that dust? And is it a cold allergy cold or the lemon! Need help argh! And what should i do about it li,e cough drops of what? I need help!",Hello dear... The symptoms suggest that you might be having Allergic rhinitis. Management include,1,dust,Environmental
